,Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Week,Day,DayOfWeek,Lag_1,Lag_2,Lag_3,Rolling_Mean_3,Rolling_Std_3,IsSuperBowl,IsLaborDay,IsThanksgiving,IsChristmas
0,1,2010-02-05,1643690.9,0,42.31,2.572,211.0963582,8.106,2010,2,5,5,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1,1,2010-02-12,1641957.44,1,38.51,2.548,211.2421698,8.106,2010,2,6,12,4,1643690.9,0.0,0.0,0.0,0.0,1,0,0,0
2,1,2010-02-19,1611968.17,0,39.93,2.514,211.2891429,8.106,2010,2,7,19,4,1641957.44,1643690.9,0.0,0.0,0.0,0,0,0,0
3,1,2010-02-26,1409727.59,0,46.63,2.561,211.3196429,8.106,2010,2,8,26,4,1611968.17,1641957.44,1643690.9,1632538.8366666667,17835.791718514614,0,0,0,0
4,1,2010-03-05,1554806.68,0,46.5,2.625,211.3501429,8.106,2010,3,9,5,4,1409727.59,1611968.17,1641957.44,1554551.0666666667,126313.96844430412,0,0,0,0
5,1,2010-03-12,1439541.59,0,57.79,2.667,211.3806429,8.106,2010,3,10,12,4,1554806.68,1409727.59,1611968.17,1525500.8133333332,104256.59890624421,0,0,0,0
6,1,2010-03-19,1472515.79,0,54.58,2.72,211.215635,8.106,2010,3,11,19,4,1439541.59,1554806.68,1409727.59,1468025.2866666669,76619.03367085828,0,0,0,0
7,1,2010-03-26,1404429.92,0,51.45,2.732,211.0180424,8.106,2010,3,12,26,4,1472515.79,1439541.59,1554806.68,1488954.6866666668,59364.87375452008,0,0,0,0
8,1,2010-04-02,1594968.28,0,62.27,2.719,210.8204499,7.808,2010,4,13,2,4,1404429.92,1472515.79,1439541.59,1438829.0999999999,34048.526471998724,0,0,0,0
9,1,2010-04-09,1545418.53,0,65.86,2.77,210.6228574,7.808,2010,4,14,9,4,1594968.28,1404429.92,1472515.79,1490637.9966666668,96553.23629337622,0,0,0,0
10,1,2010-04-16,1466058.28,0,66.32,2.808,210.4887,7.808,2010,4,15,16,4,1545418.53,1594968.28,1404429.92,1514938.9100000001,98858.34352436227,0,0,0,0
11,1,2010-04-23,1391256.12,0,64.84,2.795,210.4391228,7.808,2010,4,16,23,4,1466058.28,1545418.53,1594968.28,1535481.6966666665,65026.9368609728,0,0,0,0
12,1,2010-04-30,1425100.71,0,67.41,2.78,210.3895456,7.808,2010,4,17,30,4,1391256.12,1466058.28,1545418.53,1467577.6433333333,77092.43486202852,0,0,0,0
13,1,2010-05-07,1603955.12,0,72.55,2.835,210.3399684,7.808,2010,5,18,7,4,1425100.71,1391256.12,1466058.28,1427471.7033333331,37457.40236864408,0,0,0,0
14,1,2010-05-14,1494251.5,0,74.78,2.854,210.3374261,7.808,2010,5,19,14,4,1603955.12,1425100.71,1391256.12,1473437.3166666667,114291.45553490042,0,0,0,0
15,1,2010-05-21,1399662.07,0,76.44,2.826,210.6170934,7.808,2010,5,20,21,4,1494251.5,1603955.12,1425100.71,1507769.11,90190.1842175533,0,0,0,0
16,1,2010-05-28,1432069.95,0,80.44,2.759,210.8967606,7.808,2010,5,21,28,4,1399662.07,1494251.5,1603955.12,1499289.5633333335,102239.66515589107,0,0,0,0
17,1,2010-06-04,1615524.71,0,80.69,2.705,211.1764278,7.808,2010,6,22,4,4,1432069.95,1399662.07,1494251.5,1441994.5066666666,48069.352873777396,0,0,0,0
18,1,2010-06-11,1542561.09,0,80.43,2.668,211.4560951,7.808,2010,6,23,11,4,1615524.71,1432069.95,1399662.07,1482418.9100000001,116406.32786388235,0,0,0,0
19,1,2010-06-18,1503284.06,0,84.11,2.637,211.4537719,7.808,2010,6,24,18,4,1542561.09,1615524.71,1432069.95,1530051.9166666667,92364.88404570756,0,0,0,0
20,1,2010-06-25,1422711.6,0,84.34,2.653,211.3386526,7.808,2010,6,25,25,4,1503284.06,1542561.09,1615524.71,1553789.9533333334,56956.618640195666,0,0,0,0
21,1,2010-07-02,1492418.14,0,80.91,2.669,211.2235333,7.787,2010,7,26,2,4,1422711.6,1503284.06,1542561.09,1489518.9166666667,61098.97250818132,0,0,0,0
22,1,2010-07-09,1546074.18,0,80.48,2.642,211.108414,7.787,2010,7,27,9,4,1492418.14,1422711.6,1503284.06,1472804.6000000003,43720.68779321363,0,0,0,0
23,1,2010-07-16,1448938.92,0,83.15,2.623,211.1003854,7.787,2010,7,28,16,4,1546074.18,1492418.14,1422711.6,1487067.9733333334,61855.070516369015,0,0,0,0
24,1,2010-07-23,1385065.2,0,83.36,2.608,211.2351443,7.787,2010,7,29,23,4,1448938.92,1546074.18,1492418.14,1495810.4133333333,48656.40063334927,0,0,0,0
25,1,2010-07-30,1371986.6,0,81.84,2.64,211.3699032,7.787,2010,7,30,30,4,1385065.2,1448938.92,1546074.18,1460026.0999999999,81075.07064705198,0,0,0,0
26,1,2010-08-06,1605491.78,0,87.16,2.627,211.5046621,7.787,2010,8,31,6,4,1371986.6,1385065.2,1448938.92,1401996.906666667,41175.56200381747,0,0,0,0
27,1,2010-08-13,1508237.76,0,87.0,2.692,211.6394211,7.787,2010,8,32,13,4,1605491.78,1371986.6,1385065.2,1454181.1933333334,131201.87754963044,0,0,0,0
28,1,2010-08-20,1513080.49,0,86.65,2.664,211.6033633,7.787,2010,8,33,20,4,1508237.76,1605491.78,1371986.6,1495238.7133333336,117294.0692549705,0,0,0,0
29,1,2010-08-27,1449142.92,0,85.22,2.619,211.5673056,7.787,2010,8,34,27,4,1513080.49,1508237.76,1605491.78,1542270.01,54805.17457241598,0,0,0,0
30,1,2010-09-03,1540163.53,0,81.21,2.577,211.5312479,7.787,2010,9,35,3,4,1449142.92,1513080.49,1508237.76,1490153.7233333334,35598.84128728529,0,0,0,0
31,1,2010-09-10,1507460.69,1,78.69,2.565,211.4951902,7.787,2010,9,36,10,4,1540163.53,1449142.92,1513080.49,1500795.6466666665,46737.30729285254,0,0,0,0
32,1,2010-09-17,1430378.67,0,82.11,2.582,211.5224596,7.787,2010,9,37,17,4,1507460.69,1540163.53,1449142.92,1498922.38,46107.10264628644,0,0,0,0
33,1,2010-09-24,1351791.03,0,80.94,2.624,211.5972246,7.787,2010,9,38,24,4,1430378.67,1507460.69,1540163.53,1492667.63,56367.58678023832,0,0,0,0
34,1,2010-10-01,1453329.5,0,71.89,2.603,211.6719895,7.838,2010,10,39,1,4,1351791.03,1430378.67,1507460.69,1429876.7966666666,77836.04350659823,0,0,0,0
35,1,2010-10-08,1508239.93,0,63.93,2.633,211.7467544,7.838,2010,10,40,8,4,1453329.5,1351791.03,1430378.67,1411833.0666666667,53249.12933310149,0,0,0,0
36,1,2010-10-15,1459409.1,0,67.18,2.72,211.8137436,7.838,2010,10,41,15,4,1508239.93,1453329.5,1351791.03,1437786.82,79374.08742145896,0,0,0,0
37,1,2010-10-22,1345454.0,0,69.86,2.725,211.8612937,7.838,2010,10,42,22,4,1459409.1,1508239.93,1453329.5,1473659.5099999998,30101.403116339654,0,0,0,0
38,1,2010-10-29,1384209.22,0,69.64,2.716,211.9088438,7.838,2010,10,43,29,4,1345454.0,1459409.1,1508239.93,1437701.0099999998,83535.89426155327,0,0,0,0
39,1,2010-11-05,1551659.28,0,58.74,2.689,211.9563939,7.838,2010,11,44,5,4,1384209.22,1345454.0,1459409.1,1396357.4400000002,57940.70797702546,0,0,0,0
40,1,2010-11-12,1494479.49,0,59.61,2.728,212.003944,7.838,2010,11,45,12,4,1551659.28,1384209.22,1345454.0,1427107.5,109591.74784256575,0,0,0,0
41,1,2010-11-19,1483784.18,0,51.41,2.771,211.8896737,7.838,2010,11,46,19,4,1494479.49,1551659.28,1384209.22,1476782.6633333333,85116.178861915,0,0,0,0
42,1,2010-11-26,1955624.11,1,64.52,2.735,211.7484333,7.838,2010,11,47,26,4,1483784.18,1494479.49,1551659.28,1509974.3166666667,36494.171316459375,0,0,0,0
43,1,2010-12-03,1548033.78,0,49.27,2.708,211.607193,7.838,2010,12,48,3,4,1955624.11,1483784.18,1494479.49,1644629.26,269382.52534062206,0,0,0,0
44,1,2010-12-10,1682614.26,0,46.33,2.843,211.4659526,7.838,2010,12,49,10,4,1548033.78,1955624.11,1483784.18,1662480.6900000002,255894.1212533267,0,0,0,0
45,1,2010-12-17,1891034.93,0,49.84,2.869,211.4053124,7.838,2010,12,50,17,4,1682614.26,1548033.78,1955624.11,1728757.3833333335,207676.09431659075,0,0,0,0
46,1,2010-12-24,2387950.2,0,52.33,2.886,211.4051222,7.838,2010,12,51,24,4,1891034.93,1682614.26,1548033.78,1707227.6566666665,172820.1715568339,0,0,0,0
47,1,2010-12-31,1367320.01,1,48.43,2.943,211.4049321,7.838,2010,12,52,31,4,2387950.2,1891034.93,1682614.26,1987199.7966666669,362367.84935985133,0,0,0,0
48,1,2011-01-07,1444732.28,0,48.27,2.976,211.4047419,7.742,2011,1,1,7,4,1367320.01,2387950.2,1891034.93,1882101.7133333336,510373.73360594193,0,0,0,0
49,1,2011-01-14,1391013.96,0,35.4,2.983,211.4574109,7.742,2011,1,2,14,4,1444732.28,1367320.01,2387950.2,1733334.1633333333,568233.9144071912,0,0,0,0
50,1,2011-01-21,1327405.42,0,44.04,3.016,211.8272343,7.742,2011,1,3,21,4,1391013.96,1444732.28,1367320.01,1401022.0833333333,39664.67932719927,0,0,0,0
51,1,2011-01-28,1316899.31,0,43.83,3.01,212.1970577,7.742,2011,1,4,28,4,1327405.42,1391013.96,1444732.28,1387717.22,58732.864652897006,0,0,0,0
52,1,2011-02-04,1606629.58,0,42.27,2.989,212.5668812,7.742,2011,2,5,4,4,1316899.31,1327405.42,1391013.96,1345106.23,40102.797186076816,0,0,0,0
53,1,2011-02-11,1649614.93,1,36.39,3.022,212.9367046,7.742,2011,2,6,11,4,1606629.58,1316899.31,1327405.42,1416978.1033333335,164326.9805546806,1,0,0,0
54,1,2011-02-18,1686842.78,0,57.36,3.045,213.2478853,7.742,2011,2,7,18,4,1649614.93,1606629.58,1316899.31,1524381.2733333334,180965.4909372132,0,0,0,0
55,1,2011-02-25,1456800.28,0,62.9,3.065,213.535609,7.742,2011,2,8,25,4,1686842.78,1649614.93,1606629.58,1647695.7633333334,40141.02345582192,0,0,0,0
56,1,2011-03-04,1636263.41,0,59.58,3.288,213.8233327,7.742,2011,3,9,4,4,1456800.28,1686842.78,1649614.93,1597752.6633333333,123479.38686038172,0,0,0,0
57,1,2011-03-11,1553191.63,0,53.56,3.459,214.1110564,7.742,2011,3,10,11,4,1636263.41,1456800.28,1686842.78,1593302.156666667,120888.95697101785,0,0,0,0
58,1,2011-03-18,1576818.06,0,62.76,3.488,214.3627114,7.742,2011,3,11,18,4,1553191.63,1636263.41,1456800.28,1548751.7733333334,89813.90762440179,0,0,0,0
59,1,2011-03-25,1541102.38,0,69.97,3.473,214.5999389,7.742,2011,3,12,25,4,1576818.06,1553191.63,1636263.41,1588757.7,42803.57941328348,0,0,0,0
60,1,2011-04-01,1495064.75,0,59.17,3.524,214.8371664,7.682,2011,4,13,1,4,1541102.38,1576818.06,1553191.63,1557037.3566666667,18165.75513601357,0,0,0,0
61,1,2011-04-08,1614259.35,0,67.84,3.622,215.0743939,7.682,2011,4,14,8,4,1495064.75,1541102.38,1576818.06,1537661.7299999997,40985.11288633814,0,0,0,0
62,1,2011-04-15,1559889.0,0,71.27,3.743,215.2918561,7.682,2011,4,15,15,4,1614259.35,1495064.75,1541102.38,1550142.1600000001,60109.28700397525,0,0,0,0
63,1,2011-04-22,1564819.81,0,72.99,3.807,215.4599053,7.682,2011,4,16,22,4,1559889.0,1614259.35,1495064.75,1556404.3666666665,59673.655572545504,0,0,0,0
64,1,2011-04-29,1455090.69,0,72.03,3.81,215.6279544,7.682,2011,4,17,29,4,1564819.81,1559889.0,1614259.35,1579656.0533333335,30068.577069175666,0,0,0,0
65,1,2011-05-06,1629391.28,0,64.61,3.906,215.7960035,7.682,2011,5,18,6,4,1455090.69,1564819.81,1559889.0,1526599.8333333333,61977.7896267238,0,0,0,0
66,1,2011-05-13,1604775.58,0,75.64,3.899,215.9640526,7.682,2011,5,19,13,4,1629391.28,1455090.69,1564819.81,1549767.26,88119.85227355914,0,0,0,0
67,1,2011-05-20,1428218.27,0,67.63,3.907,215.7339202,7.682,2011,5,20,20,4,1604775.58,1629391.28,1455090.69,1563085.8499999999,94332.91636110736,0,0,0,0
68,1,2011-05-27,1466046.67,0,77.72,3.786,215.5037878,7.682,2011,5,21,27,4,1428218.27,1604775.58,1629391.28,1554128.3766666667,109733.76596212776,0,0,0,0
69,1,2011-06-03,1635078.41,0,83.0,3.699,215.2736553,7.682,2011,6,22,3,4,1466046.67,1428218.27,1604775.58,1499680.173333333,92959.83185475385,0,0,0,0
70,1,2011-06-10,1588948.32,0,83.13,3.648,215.0435229,7.682,2011,6,23,10,4,1635078.41,1466046.67,1428218.27,1509781.1166666665,110146.74643009012,0,0,0,0
71,1,2011-06-17,1532114.86,0,86.41,3.637,214.9980596,7.682,2011,6,24,17,4,1588948.32,1635078.41,1466046.67,1563357.8,87373.27003872329,0,0,0,0
72,1,2011-06-24,1438830.15,0,83.58,3.594,215.0910982,7.682,2011,6,25,24,4,1532114.86,1588948.32,1635078.41,1585380.53,51574.412272595146,0,0,0,0
73,1,2011-07-01,1488538.09,0,85.55,3.524,215.1841368,7.962,2011,7,26,1,4,1438830.15,1532114.86,1588948.32,1519964.4433333334,75793.07824542727,0,0,0,0
74,1,2011-07-08,1534849.64,0,85.83,3.48,215.2771754,7.962,2011,7,27,8,4,1488538.09,1438830.15,1532114.86,1486494.3666666665,46675.9240266704,0,0,0,0
75,1,2011-07-15,1455119.97,0,88.54,3.575,215.3611087,7.962,2011,7,28,15,4,1534849.64,1488538.09,1438830.15,1487405.96,48019.75534837473,0,0,0,0
76,1,2011-07-22,1396926.82,0,85.77,3.651,215.4222784,7.962,2011,7,29,22,4,1455119.97,1534849.64,1488538.09,1492835.9000000001,40038.2123436393,0,0,0,0
77,1,2011-07-29,1352219.79,0,86.83,3.682,215.4834482,7.962,2011,7,30,29,4,1396926.82,1455119.97,1534849.64,1462298.8099999998,69241.08518067426,0,0,0,0
78,1,2011-08-05,1624383.75,0,91.65,3.684,215.544618,7.962,2011,8,31,5,4,1352219.79,1396926.82,1455119.97,1401422.1933333334,51597.17092111584,0,0,0,0
79,1,2011-08-12,1525147.09,0,90.76,3.638,215.6057878,7.962,2011,8,32,12,4,1624383.75,1352219.79,1396926.82,1457843.4533333334,145950.10258037274,0,0,0,0
80,1,2011-08-19,1530761.43,0,89.94,3.554,215.6693107,7.962,2011,8,33,19,4,1525147.09,1624383.75,1352219.79,1500583.5433333332,137734.64033914832,0,0,0,0
81,1,2011-08-26,1464693.46,0,87.96,3.523,215.7332258,7.962,2011,8,34,26,4,1530761.43,1525147.09,1624383.75,1560097.423333333,55744.31855022398,0,0,0,0
82,1,2011-09-02,1550229.22,0,87.83,3.533,215.7971409,7.962,2011,9,35,2,4,1464693.46,1530761.43,1525147.09,1506867.326666667,36631.359183385786,0,0,0,0
83,1,2011-09-09,1540471.24,1,76.0,3.546,215.861056,7.962,2011,9,36,9,4,1550229.22,1464693.46,1530761.43,1515228.0366666669,44833.65132387065,0,0,0,0
84,1,2011-09-16,1514259.78,0,79.94,3.526,216.0410526,7.962,2011,9,37,16,4,1540471.24,1550229.22,1464693.46,1518464.64,46822.10367299154,0,0,0,0
85,1,2011-09-23,1380020.27,0,75.8,3.467,216.3758246,7.962,2011,9,38,23,4,1514259.78,1540471.24,1550229.22,1534986.7466666668,18601.341452187487,0,0,0,0
86,1,2011-09-30,1394561.83,0,79.69,3.355,216.7105965,7.962,2011,9,39,30,4,1380020.27,1514259.78,1540471.24,1478250.43,86073.41871363156,0,0,0,0
87,1,2011-10-07,1630989.95,0,69.31,3.285,217.0453684,7.866,2011,10,40,7,4,1394561.83,1380020.27,1514259.78,1429613.96,73665.12318874398,0,0,0,0
